@  id    name        volt      Eq            R         X         B             I_node            J_node           I_P          I_Q          J_P          J_Q          I_off        J_off        Ih          Pi_meas          Qi_meas          Pj_meas          Qj_meas           I_nd          J_nd         I_bs          J_bs         I_island     J_island     R*              X*              B*
// 序号  交流线路名  电压等级  等值线路标志  线路电阻  线路电抗  线路单端电纳  I端所在拓扑节点   J端所在拓扑节点  I端有功功率  I端无功功率  J端有功功率  J端无功功率  I端开断标志  J端开断标志  允许载流量  I端有功功率量测  I端无功功率量测  J端有功功率量测  J端无功功率量测   I端物理节点   J端物理节点  I端计算节点   J端计算节点  I端电气岛号  J端电气岛号  线路电阻标幺值  线路电抗标幺值  线路单端电纳标幺值
#  1  东北.阿科一线  500  0  4.007000  53.599998  7.420000e-04  东北.阿拉坦站.500.10   东北.科尔沁站.500.81    331.003    -53.002   -329.417     24.497  0  0   4270.000    333.18    -61.96   -333.61     40.58  28948  29090  10  81  0  0  0.001454  0.019447  2.045137
#  2  东北.阿科二线  500  0  3.994700  51.987999  7.399095e-04  东北.阿拉坦站.500.10   东北.科尔沁站.500.81    341.152    -53.996   -339.472     27.310  0  0   4270.000    336.23    -62.98   -333.67     41.11  28950  29096  10  81  0  0  0.001449  0.018862  2.039376
#  3  东北.阿林一线  220  0  3.968800  22.578602  7.411151e-05  东北.阿拉坦站.220.12   东北.霍林河站.220.69     27.103     -9.972    -27.046      2.334  0  0    845.000     23.58    -10.18    -27.02      1.93  28945  29055  12  69  0  0  0.007502  0.042682  0.039205
#  4  东北.阿林二线  220  0  4.017200  22.249500  7.621900e-05  东北.阿拉坦站.220.12   东北.霍林河站.220.69     27.453    -10.296    -27.394      2.436  0  0    845.000     30.57    -10.61    -27.34      1.93  28944  29053  12  69  0  0  0.007594  0.042060  0.040320
#  5  东北.阿鲁线  220  0  9.099200  50.118195  1.626445e-04  东北.阿拉坦站.220.12   东北.鲁北站.220.89     13.585    -17.981    -13.539      0.656  0  0    845.000     12.15    -19.12    -12.47      2.18  28942  29105  12  89  0  0  0.017201  0.094741  0.086039
#  6  东北.阿右线  220  0  10.144600  57.470200  1.940290e-04  东北.阿拉坦站.220.12   东北.右中站.220.146      5.846    -26.764     -5.789      5.907  0  0    845.000      3.39    -27.33     -2.01      7.37  28943  29241  12  146  0  0  0.019177  0.108639  0.102641
#  7  东北.巴青一线  500  0  2.675000  34.799999  4.898400e-04  东北.巴林站.500.19   东北.青山站.500.97    715.984    -17.087   -711.213     27.722  0  0   4260.000    718.89    -29.21   -709.55     28.17  28967  29134  19  97  0  0  0.000971  0.012626  1.350121
#  8  东北.巴青二线  500  0  2.700000  34.599998  4.882720e-04  东北.巴林站.500.19   东北.青山站.500.97    720.068    -17.421   -715.197     29.302  0  0   4260.000    714.43    -27.86   -711.07     28.17  28970  29138  19  97  0  0  0.000980  0.012553  1.345800
#  9  东北.白巴一线  500  0  2.866500  30.800001  4.223300e-04  东北.白音华厂.500.29   东北.巴林站.500.19    477.381     11.545   -475.089    -57.322  0  0   3660.000    478.10     10.67   -475.99    -42.80  28977  28969  29  19  0  0  0.001040  0.011175  1.164047
#  10  东北.白巴二线  500  0  2.866500  30.787312  4.286100e-04  东北.白音华厂.500.29   东北.巴林站.500.19    477.575      9.709   -475.281    -59.082  0  0   3660.000    477.44     -4.01   -473.85    -43.25  28982  28972  29  19  0  0  0.001040  0.011170  1.181356
#  11  东北.电河一线  220  0  0.420000  2.120000  2.004000e-05  东北.通辽厂.220.121   东北.河西站.220.56    161.023    -29.908   -160.803     28.969  0  0   1420.000    158.38    -29.34   -157.57     28.41  29160  29071  121  56  0  0  0.000794  0.004008  0.010601
#  12  东北.电河二线  220  0  0.420000  2.116000  2.004000e-05  东北.通辽厂.220.121   东北.河西站.220.56    161.306    -30.019   -161.085     29.082  0  0   1400.000    158.38    -28.00   -158.11     27.60  29161  29072  121  56  0  0  0.000794  0.004000  0.010601
#  13  东北.电铝四线  220  0  0.435600  2.371600  1.528925e-05  东北.霍煤厂.220.nd29059   东北.鸿铝站.220.nd29065      0.000      0.000      0.000      0.000  0  0   1690.000      0.00      0.00      0.00      0.00  29059  29065  4088  58  -1  -1  0.000823  0.004483  0.008088
#  14  东北.电铝五线  220  0  0.387200  2.468400  1.570250e-05  东北.霍煤厂.220.nd29060   东北.鸿铝站.220.nd29066      0.000      0.000      0.000      0.000  1  1   1690.000      0.00  ''     -0.00      0.00  29060  29066  4089  4084  -1  -1  0.000732  0.004666  0.008307
#  15  东北.霍阿一线  500  0  0.947300  9.219900  1.171848e-04  东北.霍煤坑口厂.500.62   东北.阿拉坦站.500.10    289.936   -135.595   -289.612     73.566  0  0   4270.000    298.96   -148.33   -298.14     80.76  29047  28952  62  10  0  0  0.000344  0.003345  0.322991
#  16  东北.霍煤一线  220  0  0.580800  2.952400  1.466940e-05  东北.霍煤厂.220.71   东北.霍林河站.220.69    -46.785     -2.436     46.809      0.981  0  0    800.000    -47.07     -1.67     46.31      1.29  29057  29054  71  69  0  0  0.001098  0.005581  0.007760
#  17  东北.霍煤二线  220  0  0.580800  3.049200  1.033060e-05  东北.霍煤厂.220.4087   东北.霍林河站.220.69    -46.312     -2.334     46.335      1.346  0  0    800.000    -46.73     -1.67     45.35      1.29  29058  29056  4087  69  0  0  0.001098  0.005764  0.005465
#  18  东北.科城二线  220  0  1.408000  8.845400  5.693925e-05  东北.科尔沁站.220.82   东北.城园站.220.33    -28.412      5.379     28.436    -11.046  0  0    800.000    -30.04      6.50     29.12    -12.86  29080  29005  82  33  0  0  0.002662  0.016721  0.030121
#  19  东北.科河一线  220  0  0.813100  5.800000  3.307850e-05  东北.科尔沁站.220.82   东北.河西站.220.56    -66.049      8.048     66.120    -10.924  0  0    845.000    -61.59      7.22     61.37    -10.32  29079  29076  82  56  0  0  0.001537  0.010964  0.017499
#  20  东北.科河二线  220  0  1.161600  7.400000  2.626304e-05  东北.科尔沁站.220.82   东北.河西站.220.56    -51.510      7.119     51.572     -9.410  0  0    845.000    -48.36      6.76     48.24     -9.11  29078  29073  82  56  0  0  0.002196  0.013989  0.013893
#  21  东北.林铝一线  220  0  0.251700  1.868200  1.330580e-05  东北.霍煤坑口厂.220.nd29039   东北.鸿铝站.220.nd29067      0.000      0.000      0.000      0.000  1  0      0.000      0.00      0.00      0.00      0.00  29039  29067  64  4085  -1  -1  0.000476  0.003532  0.007039
#  22  东北.林扎线  220  0  0.246800  1.877900  1.324380e-05  东北.霍煤坑口厂.220.nd29040   东北.扎铝站.220.nd29551      0.000      0.000      0.000      0.000  1  0      0.000      0.00      0.00      0.00      0.00  29040  29551  64  348  -1  -1  0.000467  0.003550  0.007006
#  23  东北.青宝二线  220  0  1.144200  6.669000  2.158428e-05  东北.青山站.220.98   东北.元宝山站.220.148     27.041    -14.090    -27.022     11.858  0  0    810.000     24.16    -13.06    -24.14     10.80  29129  29208  98  148  0  0  0.002163  0.012607  0.011418
#  24  东北.青中线  220  0  4.772400  28.632000  1.713507e-04  东北.青山站.220.98   东北.中京站.220.160     56.535     -4.016    -56.251    -12.716  0  0      0.000     53.76     -3.85    -54.54    -12.60  29123  29245  98  160  0  0  0.009022  0.054125  0.090645
#  25  东北.热赤甲线  220  0  0.198900  0.978800  3.235535e-06  东北.赤热B厂.220.36   东北.赤峰站.220.34     96.174    -10.982    -96.139     10.806  0  0    845.000     98.46    -11.25    -98.11      9.97  28994  28990  36  34  0  0  0.000376  0.001850  0.001712
#  26  东北.热赤乙线  220  0  0.201000  0.964000  3.142560e-06  东北.赤热B厂.220.36   东北.赤峰站.220.34      0.000     -0.000      0.000     -0.337  1  0    845.000      0.00     -0.00      0.00     -0.64  28995  28991  36  34  0  0  0.000380  0.001822  0.001662
#  27  东北.盛铝线  220  0  0.150000  0.969000  6.200000e-06  东北.盛发热电厂.220.109   东北.通铝站.220.126     94.630     19.384    -94.602    -19.833  0  0   1420.000     95.56     22.66    -95.00    -23.00  29147  29171  109  126  0  0  0.000284  0.001832  0.003280
#  28  东北.盛通线  220  0  0.240000  1.600000  9.915000e-06  东北.盛发热电厂.220.109   东北.通辽站.220.118      9.517    -19.175     -9.515     18.185  0  0   1420.000     10.94    -17.30    -10.85     15.28  29146  29167  109  118  0  0  0.000454  0.003025  0.005245
#  29  东北.通科线  500  0  0.463600  5.666601  4.738260e-05  东北.通辽二厂.500.119   东北.科尔沁站.500.81    361.276    -62.045   -361.056     38.183  0  0   4270.000    362.90    -62.17   -367.20     36.82  29156  29085  119  81  0  0  0.000168  0.002056  0.130598
#  30  东北.元赤线  220  0  2.516800  11.809600  4.628099e-05  东北.元宝山厂.220.151   东北.赤峰站.220.34     43.850     20.658    -43.736    -25.126  0  0    845.000     41.00     20.10    -40.85    -24.77  29196  28987  151  34  0  0  0.004758  0.022324  0.024483
#  31  东北.元乌线  220  0  5.856400  36.638802  1.225205e-04  东北.元宝山厂.220.151   东北.乌丹站.220.127    -39.707      4.645     39.890    -16.792  0  0    700.000    -37.79      3.48     36.99    -17.05  29195  29176  151  127  0  0  0.011071  0.069260  0.064813
#  32  东北.元元一线  220  0  0.455000  1.936000  1.363635e-05  东北.元宝山厂.220.151   东北.元宝山站.220.148     54.346     15.183    -54.319    -16.552  0  0   1400.000     56.95     21.17    -54.19    -16.12  29197  29203  151  148  0  0  0.000860  0.003660  0.007214
#  33  东北.元元二线  220  0  0.436900  1.845800  1.053719e-05  东北.元宝山厂.220.152   东北.元宝山站.220.148     66.493     30.791    -66.450    -31.754  0  0   1400.000     69.47     24.41    -69.47    -26.37  29200  29207  152  148  0  0  0.000826  0.003489  0.005574
#  34  东北.伊矿甲线  220  0  0.582500  2.330000  6.930000e-06  东北.伊敏厂.220.289   东北.伊敏站.220.285      0.000     -0.000      0.000     -0.767  1  0    710.000      0.00      0.00      0.01     -0.95  29214  29257  289  285  0  0  0.001101  0.004405  0.003666
#  35  东北.阿北一线  220  0  1.334000  10.150000  6.080609e-05  东北.阿拉坦站.220.12   东北.北沙站.220.192    -64.005     -9.452     64.108      3.685  0  0    810.000    -64.65    -10.55     64.33      4.42  28946  29270  12  192  0  0  0.002522  0.019187  0.032166
#  36  东北.蒙东电城一线  220  0  0.909900  4.655000  1.479340e-05  东北.通辽厂.220.121   东北.城园站.220.33    101.111    -12.185   -100.926     11.616  0  0    810.000     99.02    -14.34   -100.94     13.04  29157  29003  121  33  0  0  0.001720  0.008800  0.007826
#  37  东北.蒙东电城三线  220  0  0.876000  5.925000  1.896695e-05  东北.通辽厂.220.121   东北.城园站.220.33     80.404     -6.309    -80.292      5.123  0  0    810.000     84.15     -8.44    -84.15      6.43  29159  29004  121  33  0  0  0.001656  0.011200  0.010034
#  38  东北.元青二线  500  0  0.460000  5.230000  4.239000e-05  东北.元宝山厂.500.150   东北.青山站.500.97    435.360    -52.072   -435.052     31.404  0  0   3200.000    424.06    -46.44   -428.62     31.21  29193  29141  150  97  0  0  0.000167  0.001898  0.116837
#  39  东北.科乌线  220  0  8.581300  38.962006  1.484915e-04  东北.科尔沁站.220.82   东北.乌力吉风电场.220.208    -55.741    -26.150     56.321     13.226  0  0    810.000    -55.30    -25.09     55.30     14.22  29082  29313  82  208  0  0  0.016222  0.073652  0.078552
#  40  东北.蒙东电城二线  220  0  0.743300  4.849000  1.592975e-05  东北.通辽厂.220.121   东北.城园站.220.33      0.000      0.000      0.000      0.000  1  1    810.000      0.00      0.00      0.00      0.00  29158  29002  121  33  0  0  0.001405  0.009166  0.008427
#  41  东北.科开一线  220  0  5.416000  24.582399  9.369851e-05  东北.科尔沁站.220.82   东北.开鲁站.220.80     45.493     -5.733    -45.273     -2.812  0  0    810.000     46.02     -3.39    -45.99     -3.86  29319  29321  82  80  0  0  0.010238  0.046470  0.049567
#  42  东北.科开二线  220  0  5.478900  24.882399  9.481402e-05  东北.科尔沁站.220.82   东北.开鲁站.220.80     44.946     -5.773    -44.729     -2.898  0  0    810.000     45.84     -3.51    -45.67     -3.54  29083  29100  82  80  0  0  0.010357  0.047037  0.050157
#  43  东北.阿昆线  220  0  0.329100  1.495600  5.702500e-06  东北.阿拉坦站.220.12   东北.昆都楞风电场.220.216    -87.203     10.983     87.250    -11.380  0  0    810.000    -87.18      9.83     86.94    -10.31  29325  29328  12  216  0  0  0.000622  0.002827  0.003017
#  44  东北.京右线  220  0  0.590500  3.406000  2.092975e-05  东北.京科厂.220.nd29341   东北.右中站.220.146      0.000      0.000      0.000      0.000  1  1      0.000      0.00      0.00      0.00      0.00  29341  29343  230  146  -1  0  0.001116  0.006439  0.011072
#  45  东北.青平一线  220  0  1.616600  9.940150  3.310274e-05  东北.青山站.220.98   东北.平庄站.220.94     68.231      7.698    -68.089    -10.402  0  0    810.000     68.29      6.20    -67.87    -10.61  29121  29117  98  94  0  0  0.003056  0.018790  0.017511
#  46  东北.青城一线  220  0  0.847000  5.048100  2.766530e-05  东北.青山站.220.98   东北.赤城东站.220.237     30.187     20.957    -30.165    -23.816  0  0   1420.000     28.31     19.76    -29.03    -24.12  29126  29348  98  237  0  0  0.001601  0.009543  0.014635
#  47  东北.青城二线  220  0  0.880900  5.082000  2.764465e-05  东北.青山站.220.98   东北.赤城东站.220.237     30.078     20.626    -30.055    -23.484  0  0   1420.000     29.31     16.75    -30.71    -21.55  29127  29349  98  237  0  0  0.001665  0.009607  0.014624
#  48  东北.巴大二线  220  0  1.873100  8.576500  2.648760e-05  东北.巴林站.220.20   东北.大板站.220.41     85.166    -14.496    -84.910     12.802  0  0    710.000     82.98    -13.96    -82.90     12.46  28957  29015  20  41  0  0  0.003541  0.016213  0.014012
#  49  东北.巴东一线  220  0  6.172500  27.626699  8.551650e-05  东北.巴林站.220.20   东北.林东站.220.88     15.635    -14.501    -15.596      5.376  0  0    710.000     15.39    -15.83    -14.79      5.79  28962  29107  20  88  0  0  0.011668  0.052224  0.045238
#  50  东北.巴换一线  500  0  1.653750  20.365301  1.806175e-04  东北.巴彦托海站.500.238   东北.伊敏换流站.500.247    803.408    -84.741   -799.657     28.017  0  0   4360.000    797.34    -96.59   -795.23     37.45  29356  29383  238  247  0  0  0.000600  0.007389  0.497827
#  51  东北.巴换二线  500  0  1.608020  20.426901  1.799400e-04  东北.巴彦托海站.500.238   东北.伊敏换流站.500.247    801.223    -82.477   -797.596     26.018  0  0   4360.000    798.30    -88.59   -795.31     32.00  29358  29382  238  247  0  0  0.000583  0.007411  0.495960
#  52  东北.鄂巴一线  500  0  1.248200  15.425100  1.349902e-04  东北.鄂温克厂.500.239   东北.巴彦托海站.500.238    415.324    -25.886   -414.572    -41.951  0  0   4360.000    414.15    -50.75   -414.82    -15.67  29371  29360  239  238  0  0  0.000453  0.005596  0.372067
#  53  东北.鄂巴二线  500  0  1.201310  15.501699  1.345474e-04  东北.鄂温克厂.500.239   东北.巴彦托海站.500.238    413.338    -24.412   -412.620    -43.213  0  0   4360.000    414.91    -15.73   -414.50    -50.53  29365  29361  239  238  0  0  0.000436  0.005624  0.370846
#  54  东北.煤东一线  220  0  0.551800  2.797500  1.150825e-05  东北.赤城东站.220.237   东北.赤煤矸石厂.220.90    -48.837     -0.981     48.862     -0.137  0  0    810.000    -49.24     -1.45     49.24      0.72  29350  29109  237  90  0  0  0.001043  0.005288  0.006088
#  55  东北.煤东二线  220  0  0.532400  2.783000  1.168390e-05  东北.赤煤矸石厂.220.90   东北.赤城东站.220.237     49.167      0.138    -49.144     -1.274  0  0    810.000     49.64      3.18    -49.47     -4.13  29110  29351  90  237  0  0  0.001006  0.005261  0.006181
#  56  东北.青西线  220  0  1.720820  11.119100  8.097107e-05  东北.青山站.220.98   东北.赤西郊站.220.39     64.324     16.546    -64.178    -24.328  0  0      0.000     60.30     15.07    -61.12    -23.16  29125  29425  98  39  0  0  0.003253  0.021019  0.042834
#  57  东北.伊换一线  500  0  0.180000  2.222810  2.003500e-05  东北.伊敏厂.500.288   东北.伊敏换流站.500.247    553.594     25.735   -553.400    -34.753  0  0   4360.000    533.52     26.01   -540.78    -45.90  29434  29422  288  247  0  0  0.000065  0.000806  0.055221
#  58  东北.伊换二线  500  0  0.270000  2.210900  2.000494e-05  东北.伊敏厂.500.288   东北.伊敏换流站.500.247    555.102      3.194   -554.810    -12.201  0  0   4360.000    539.51    -10.22   -547.54     -5.61  29436  29420  288  247  0  0  0.000098  0.000802  0.055139
#  59  东北.巴天一线  220  0  8.184130  47.804600  1.516745e-04  东北.巴林站.220.20   东北.天山站.220.116     -7.363    -12.137      7.373     -4.316  0  0    810.000     -8.60    -13.19      7.50     -3.62  28963  29458  20  116  0  0  0.015471  0.090368  0.080236
#  60  东北.巴铜一线  220  0  3.817310  24.752998  4.097700e-05  东北.巴林站.220.20   东北.铜都站.220.255     59.708    -10.364    -59.452      7.582  0  0    845.000     58.72    -12.95    -58.56      5.23  28958  29462  20  255  0  0  0.007216  0.046792  0.021677
#  61  东北.巴铜二线  220  0  3.820000  24.750000  4.097500e-05  东北.巴林站.220.20   东北.铜都站.220.255     59.713    -10.372    -59.457      7.591  0  0    845.000     58.38    -13.37    -58.82      5.23  28959  29463  20  255  0  0  0.007221  0.046786  0.021676
#  62  东北.兴乌线一段线  220  0  1.260000  7.070000  1.529000e-05  东北.兴牧风电场.220.266   东北.虚拟站一.220.161     19.978      1.007    -19.968     -2.515  0  0   1220.000     20.27     -1.17  ''  ''  29488  39952  266  161  0  0  0.002382  0.013365  0.008088
#  63  东北.兴乌线分联乌线  220  0  1.060000  5.370000  1.167500e-05  东北.联合风电场.220.279   东北.虚拟站一.220.161     19.587     -0.170    -19.579     -0.984  0  0   1220.000     19.88     -2.34  ''  ''  29506  39952  279  161  0  0  0.002004  0.010151  0.006176
#  64  东北.兴乌线二段线  220  0  1.260000  6.530000  1.425500e-05  东北.乌兰哈达站.220.199   东北.虚拟站一.220.161    -39.507     -4.761     39.546      3.508  0  0   1220.000    -39.52     -3.88  ''  ''  29487  39952  199  161  0  0  0.002382  0.012344  0.007541
#  65  东北.青锦线  220  0  2.580000  15.980000  1.038730e-04  东北.青山站.220.98   东北.锦山站.220.307     54.758      3.936    -54.611    -14.224  0  0   1220.000     52.42      3.18    -53.78    -13.94  29124  29520  98  307  0  0  0.004877  0.030208  0.054949
#  66  东北.元青一线  500  0  0.720000  5.010000  3.539000e-05  东北.元宝山厂.500.150   东北.青山站.500.97    448.629    -76.332   -448.110     59.764  0  0   3200.000    438.37    -82.47   -440.80     62.43  29192  29308  150  97  0  0  0.000261  0.001818  0.097544
#  67  东北.龙突线分突泉线  220  0  0.042894  0.370000  1.350000e-06  东北.突泉站.220.198   东北.虚拟站一.220.162    -60.714    -11.093     60.717     10.975  0  0    800.000    -60.65     -9.40  ''  ''  29448  39953  198  162  0  0  0.000081  0.000699  0.000714
#  68  东北.龙突线分太突线  220  0  0.440000  2.623500  5.466000e-06  东北.太和风电场.220.308   东北.虚拟站三.220.335     10.679     -1.094    -10.678      0.515  0  0    800.000     10.54      0.00  ''  ''  29523  39954  308  335  0  0  0.000832  0.004959  0.002892
#  69  东北.齐杨线分齐心营线  220  0  0.553200  3.194400  8.370001e-06  东北.齐心营风电场.220.319   东北.虚拟站一.220.163     -0.413     -0.354      0.413     -0.520  0  0    800.000     -0.30      0.00  ''  ''  29531  39955  319  163  0  0  0.001046  0.006039  0.004428
#  70  东北.齐杨线分大于营线  220  0  0.396600  2.197360  8.370001e-06  东北.大于营风电场.220.325   东北.虚拟站一.220.163     14.561     -0.955    -14.560      0.090  0  0    800.000     14.67     -0.60  ''  ''  29538  39955  325  163  0  0  0.000750  0.004154  0.004428
#  71  东北.齐杨线分杨树沟线  220  0  0.930000  5.235700  3.192000e-05  东北.杨树沟站.220.142   东北.虚拟站一.220.163    -14.142     -3.738     14.146      0.429  0  0    800.000    -14.52     -2.38  ''  ''  29235  39955  142  163  0  0  0.001758  0.009897  0.016886
#  72  东北.牧河线分北清河线  220  0  0.341945  2.096363  2.423164e-05  东北.北清河风电场.220.220   东北.虚拟站一.220.164     13.492     -2.139    -13.490     -0.322  0  0    800.000     13.40      0.00  ''  ''  29332  39956  220  164  0  0  0.000646  0.003963  0.012819
#  73  东北.牧河线一段虚拟线  220  0  1.001846  5.672085  2.320809e-05  东北.虚拟站一.220.164   东北.虚拟站二.220.177     18.941      5.197    -18.933     -7.514  0  0    800.000  ''  ''  ''  ''  39956  39957  164  177  0  0  0.001894  0.010722  0.012277
#  74  东北.牧塔线  220  0  1.539390  10.225570  4.899800e-05  东北.塔拉风电场.220.226   东北.虚拟站二.220.177      7.965     -9.796     -7.962      4.845  0  0    800.000      7.87     -7.65  ''  ''  29337  39957  226  177  0  0  0.002910  0.019330  0.025920
#  75  东北.科华线分科尔沁线  220  0  0.095880  0.726291  4.442840e-06  东北.科尔沁站.220.82   东北.虚拟站一.220.165     -9.077    -11.549      9.077     11.098  0  0      0.000    -10.07    -15.60  ''  ''  29320  39958  82  165  0  0  0.000181  0.001373  0.002350
#  76  东北.科华线分莫力庙线  220  0  0.260000  1.690000  4.227000e-06  东北.莫力庙风电场.220.214   东北.虚拟站一.220.165      0.003      0.019     -0.003     -0.451  0  0    800.000      0.00      0.00  ''  ''  29547  39958  214  165  0  0  0.000491  0.003195  0.002236
#  77  东北.科华线分街基线  220  0  4.887960  24.360451  8.978249e-05  东北.街基风电场.220.343   东北.虚拟站一.220.165      9.082      1.467     -9.071    -10.628  0  0    800.000      8.17      0.00  ''  ''  29546  39958  343  165  0  0  0.009240  0.046050  0.047495
#  78  东北.孙锦线分北梁线  220  0  0.861020  4.484100  1.746189e-05  东北.北梁风电场.220.317   东北.虚拟站一.220.166     -0.466      0.158      0.466     -2.041  0  0   1600.000      0.00      0.00  ''  ''  29530  39959  317  166  0  0  0.001628  0.008477  0.009237
#  79  东北.孙锦线分孙家营线  220  0  0.118150  0.472600  2.314045e-06  东北.孙家营风电场.220.112   东北.虚拟站一.220.166     -0.982    -11.246      0.982     10.997  0  0    810.000     -0.80    -12.60  ''  ''  29149  39959  112  166  0  0  0.000223  0.000893  0.001224
#  80  东北.孙锦线一段虚拟线  220  0  0.843300  6.538300  3.698500e-05  东北.虚拟站一.220.166   东北.虚拟站二.220.178     -1.450     -8.956      1.451      4.971  0  0    810.000  ''  ''  ''  ''  39959  39960  166  178  0  0  0.001594  0.012360  0.019565
#  81  东北.孙锦线分龙泉线  220  0  0.096600  0.749100  3.645925e-06  东北.龙泉风电场.220.321   东北.虚拟站二.220.178      0.405      0.159     -0.405     -0.553  0  0    810.000      0.87      0.00  ''  ''  29533  39960  321  178  0  0  0.000183  0.001416  0.001929
#  82  东北.孙锦线二段虚拟线  220  0  0.086400  0.801300  4.586775e-06  东北.虚拟站二.220.178   东北.虚拟站三.220.336     -1.048     -4.418      1.048      3.923  0  0    810.000  ''  ''  ''  ''  39960  39961  178  336  0  0  0.000163  0.001515  0.002426
#  83  东北.孙锦线分锦山线  220  0  2.917400  23.042299  1.429546e-04  东北.锦山站.220.307   东北.虚拟站三.220.336      1.520    -16.260     -1.516      0.908  0  0    810.000      0.00    -16.79  ''  ''  29518  39961  307  336  0  0  0.005515  0.043558  0.075623
#  84  东北.龙突线分九龙线  220  0  1.850000  10.690000  3.375000e-05  东北.九龙风电场.220.346   东北.虚拟站二.220.179     20.036     -1.087    -20.022     -2.453  0  0    800.000     19.90      0.00  ''  ''  29548  39962  346  179  0  0  0.003497  0.020208  0.017854
#  85  东北.宝代线分华宝线  220  0  0.221900  1.109300  1.854200e-06  东北.华宝风电场.220.59   东北.虚拟站一.220.167      1.863     -1.539     -1.863      1.342  0  0    700.000      1.47     -2.81  ''  ''  29064  39963  59  167  0  0  0.000419  0.002097  0.000981
#  86  东北.宝代线分敖日木线  220  0  2.463400  11.430901  2.379500e-05  东北.敖日木风电场.220.232   东北.虚拟站一.220.167      3.203      1.299     -3.202     -3.830  0  0    800.000      2.81      0.00  ''  ''  29340  39963  232  167  0  0  0.004657  0.021609  0.012588
#  87  东北.宝代线一段虚拟线  220  0  1.328997  6.435900  1.075785e-05  东北.虚拟站一.220.167   东北.虚拟站二.220.180      5.067      2.493     -5.066     -3.633  0  0    800.000  ''  ''  ''  ''  39963  39964  167  180  0  0  0.002512  0.012166  0.005691
#  88  东北.宝代线分代力吉线  220  0  0.781220  4.969601  1.665640e-05  东北.代力吉风电场.220.44   东北.虚拟站三.220.337     17.541     -3.684    -17.537      1.941  0  0    800.000     17.15     -4.96  ''  ''  29016  39965  44  337  0  0  0.001477  0.009394  0.008811
#  89  东北.宝代线二段虚拟线  220  0  1.152670  7.332390  1.228585e-05  东北.虚拟站二.220.180   东北.虚拟站三.220.337    -20.508     -1.200     20.518     -0.049  0  0    800.000  ''  ''  ''  ''  39964  39965  180  337  0  0  0.002179  0.013861  0.006499
#  90  东北.宝代线分宝龙山线  220  0  0.004840  0.004840  9.451796e-07  东北.宝龙山站.220.32   东北.虚拟站二.220.180    -25.575     -4.937     25.575      4.837  0  0   1600.000    -26.40     -5.09  ''  ''  28976  39964  32  180  0  0  0.000009  0.000009  0.000500
#  91  东北.宝代线分三合线  220  0  0.550780  3.342400  5.817150e-06  东北.三合风电场.220.277   东北.虚拟站三.220.337      2.980      1.269     -2.979     -1.887  0  0    800.000      2.59      0.00  ''  ''  29504  39965  277  337  0  0  0.001041  0.006318  0.003077
#  92  东北.哈花线分哈达线  220  0  0.610000  3.760000  4.042500e-05  东北.哈达站.220.54   东北.虚拟站一.220.168      0.336     -6.715     -0.335      2.558  0  0    800.000      0.00     -4.96  ''  ''  29030  39966  54  168  0  0  0.001153  0.007108  0.021385
#  93  东北.哈花线分花灯线  220  0  0.366300  2.271800  3.780990e-06  东北.花灯风电场.220.268   东北.虚拟站一.220.168     -0.379     -1.482      0.379      1.093  0  0    800.000      0.00      0.00  ''  ''  29490  39966  268  168  0  0  0.000692  0.004295  0.002000
#  94  东北.哈花线分努古斯台线  220  0  0.990000  6.230000  4.050500e-05  东北.努古斯台风电场.220.270   东北.虚拟站一.220.168      0.045     -0.512     -0.045     -3.657  0  0    800.000      0.42      0.97  ''  ''  29497  39966  270  168  0  0  0.001871  0.011777  0.021427
#  95  东北.煤杨线分杨树沟线  220  0  0.310000  1.680000  5.760000e-06  东北.杨树沟站.220.142   东北.虚拟站一.220.169      0.550     13.597     -0.549    -14.191  0  0    845.000      0.00     13.86  ''  ''  29342  39967  142  169  0  0  0.000586  0.003176  0.003047
#  96  东北.煤杨线分西场风电线  220  0  0.085800  0.428800  1.735000e-06  东北.西场风电场.220.251   东北.虚拟站一.220.169     -0.609    -18.176      0.610     17.998  0  0    845.000     -0.67    -18.93  ''  ''  29451  39967  251  169  0  0  0.000162  0.000811  0.000918
#  97  东北.煤杨线分煤窑山线  220  0  1.473500  7.367599  2.930000e-05  东北.煤窑山风电场.220.234   东北.虚拟站一.220.169      0.061      0.751     -0.060     -3.804  0  0    845.000      0.00      0.00  ''  ''  29426  39967  234  169  0  0  0.002785  0.013927  0.015500
#  98  东北.赛乌线分赛罕坝线  220  0  1.460300  6.334300  1.618250e-05  东北.赛罕坝风电场.220.105   东北.虚拟站二.220.181     -1.324    -21.659      1.336     19.981  0  0    800.000     -0.96    -24.45  ''  ''  29145  39968  105  181  0  0  0.002760  0.011974  0.008561
#  99  东北.赛乌线分乌丹线  220  0  4.000000  22.377003  7.461000e-05  东北.乌丹站.220.127   东北.虚拟站二.220.181     -0.113      7.988      0.124    -15.959  0  0      0.000     -0.96      6.43  ''  ''  29179  39968  127  181  0  0  0.007561  0.042301  0.039469
#  100  东北.赛乌线分亿合公线  220  0  0.273100  1.524900  1.133450e-05  东北.亿合公风电场.220.143   东北.虚拟站二.220.181      1.461      2.797     -1.461     -4.011  0  0    810.000      1.82      0.00  ''  ''  29211  39968  143  181  0  0  0.000516  0.002883  0.005996
